Title,Description,Domestic_BO,International_BO,Worldwide_BO,Distributor,Opening_amount,Release_date,Mpaa_rating,Running_time,Genres,In_release,Widest_release
Knock at the Cabin,"While vacationing, a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse.","$35,397,980","$19,362,909","$54,760,889",Universal Pictures,"$14,127,170","Feb 3, 2023",R,1 hr 40 min,"Horror,Mystery,Thriller",114 days/16 weeks,"3,657 theaters"
Missing,"After her mother goes missing, a young woman tries to find her from home, using tools available to her online.","$32,502,025","$16,239,504","$48,741,529",Sony Pictures Entertainment (SPE),"$9,154,695","Jan 20, 2023",PG-13,1 hr 51 min,"Drama,Mystery,Thriller",128 days/18 weeks,"3,025 theaters"
Ride On,A washed-up stuntman and his stunt horse become an overnight social media sensation when their real-life fight with debt collectors goes viral.,"$128,950","$35,313,039","$35,441,989",Well Go USA Entertainment,"$64,759","Apr 7, 2023",,2 hr 6 min,"Action,Comedy,Drama",51 days/7 weeks,48 theaters
Operation Fortune: Ruse de Guerre,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,"$6,496,125","$31,350,831","$37,846,956",Lionsgate,"$3,140,214","Mar 3, 2023",R,1 hr 54 min,"Action,Comedy,Thriller",86 days/12 weeks,"2,168 theaters"
Consecration,"After the alleged suicide of her priest brother, Grace travels to the remote Scottish convent where he fell to his death. Distrusting the Church's account, she uncovers murder, sacrilege and a disturbing truth about herself.","$538,551","$965,738","$1,504,289",IFC Films,"$329,951","Feb 10, 2023",R,1 hr 31 min,"Horror,Thriller",107 days/15 weeks,762 theaters
Hidden Blade,"Follows the story of underground workers who risked their lives to send intelligence and defend the motherland, set after Japan's attack on Pearl Harbor when the Wang Jingwei regime declared war on Britain and the U.S.","$803,189","$581,404","$1,384,593",Well Go USA Entertainment,"$296,337","Feb 17, 2023",,2 hr 8 min,"Drama,History,Thriller",100 days/14 weeks,62 theaters
Skinamarink,"Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished.","$2,052,272","$1,088","$2,053,360",IFC Films,"$818,943","Jan 13, 2023",,1 hr 40 min,Horror,135 days/19 weeks,809 theaters
Billie Eilish Live at the O2,Join fans around the world in experiencing the never-before-seen extended cut version of Billie's Grammy-nominated concert film.,"$1,290,000","$833,117","$2,123,117",Trafalgar Releasing,"$1,290,000","Jan 27, 2023",,1 hr 45 min,"Documentary,Music",121 days/17 weeks,600 theaters
Polite Society,"Ria Khan believes she must save her older sister Lena from her impending marriage. After enlisting her friends' help, she attempts to pull off the most ambitious of all wedding heists in the name of independence and sisterhood.","$1,545,600","$928,912","$2,474,512",Focus Features,"$817,740","Apr 28, 2023",PG-13,1 hr 44 min,"Action,Comedy",30 days/4 weeks,927 theaters
A Good Person,"Follows Allison, whose life falls apart following her involvement in a fatal accident.","$2,210,465","$476,389","$2,686,854",United Artists Releasing,"$832,007","Mar 24, 2023",R,2 hr 8 min,Drama,65 days/9 weeks,687 theaters
